ApsimVersion = 7.7
Title = Rice-wheat
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation     wheat_biom    wheat_yield         runoff     fertiliser          nh4()      LAI(rice)     LAI(wheat)     leaftotaln           nflv sw_stress_expan sw_stress_photo sw_stress_pheno
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)             ()      (m^2/m^2)        (g/m^2)             ()              ()              ()              ()
     01/06/2001           2001            152         23.618           10.2              0              0            0.0            0.0            0.0            7.6          7.000          0.386          0.268           10.2            2.1            0.9            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            3.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     02/06/2001           2001            153         33.154           11.3              0              0            0.0            0.0            0.0            7.9         14.000          0.386          0.332           11.3            1.5            0.7            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            2.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     03/06/2001           2001            154         36.772           12.2              0              0            0.0            0.0            0.0            8.2          8.000          0.386          0.355           12.2            1.2            0.6            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            2.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     04/06/2001           2001            155         36.096           12.9              0              0            0.0            0.0            0.0            8.5          0.000          0.386          0.350           12.9            1.0            0.4            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            1.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     05/06/2001           2001            156         35.480           13.5              0              0            0.0            0.0            0.0            8.9          1.000          0.386          0.346           13.5            0.9            0.4            0.1            0.0            0.0            0.1          0.000          0.000            0.0            0.0          0.000            0.0            1.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     06/06/2001           2001            157         68.740           13.4              0              0            0.0            0.0            0.0            6.9         77.000          0.386          0.407           13.4            1.1            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.6          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     07/06/2001           2001            158         92.768           13.3              0              0            0.0            0.0            0.0            5.4         63.000          0.386          0.408           13.3            1.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     08/06/2001           2001            159        116.808           13.1              0              0            0.0            0.0            0.0            4.5         27.000          0.386          0.408           13.1            1.5            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     09/06/2001           2001            160        140.778           13.0              0              0            0.0            0.0            0.0            3.9         20.000          0.386          0.408           13.0            1.7            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.0          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     10/06/2001           2001            161        164.696           12.8              0              0            0.0            0.0            0.0            3.5         66.000          0.386          0.407           12.8            1.9            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
