ApsimVersion = 7.4
Title = Silt fertilised
           Date           year            day           rain      dlayer(1)      dlayer(2)      dlayer(3)      dlayer(4)      dlayer(5)      dlayer(6)            esw          drain      NO3_Total      NH4_Total         urea()         dnit()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
     01/01/2001           2001              1          0.000        150.000        150.000        300.000        300.000        300.000        300.000        104.120          0.000           10.8            3.0            0.0            0.0            4.9            2.0            1.0            1.0            1.0            1.0            1.5            0.8            0.2            0.2            0.2            0.2
     02/01/2001           2001              2          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.847          0.000           11.1            1.6            0.0            0.0            4.9            2.2            1.0            1.0            1.0            1.0            0.5            0.6            0.1            0.1            0.1            0.1
     03/01/2001           2001              3          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.580          0.000           11.0            1.0            0.0            0.0            4.5            2.4            1.1            1.0            1.0            1.0            0.3            0.5            0.1            0.0            0.0            0.1
     04/01/2001           2001              4          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.319          0.000           10.9            0.7            0.0            0.0            4.3            2.5            1.1            1.0            1.0            1.0            0.2            0.3            0.1            0.0            0.0            0.1
     05/01/2001           2001              5          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.063          0.000           11.0            0.6            0.0            0.0            4.2            2.6            1.1            1.0            1.0            1.0            0.2            0.2            0.1            0.0            0.0            0.0
     06/01/2001           2001              6          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.813          0.000           11.1            0.5            0.0            0.0            4.3            2.6            1.1            1.0            1.0            1.0            0.3            0.2            0.1            0.0            0.0            0.0
     07/01/2001           2001              7          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.567          0.000           11.2            0.6            0.0            0.0            4.4            2.7            1.1            1.0            1.0            1.0            0.3            0.2            0.1            0.0            0.0            0.0
     08/01/2001           2001              8          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.326          0.000           11.4            0.6            0.0            0.0            4.5            2.7            1.2            1.0            1.0            1.0            0.4            0.1            0.1            0.0            0.0            0.0
     09/01/2001           2001              9          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.090          0.000           11.5            0.7            0.0            0.0            4.7            2.8            1.2            1.0            0.9            1.0            0.5            0.1            0.1            0.0            0.0            0.0
     10/01/2001           2001             10          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.857          0.000           11.7            0.7            0.0            0.0            4.8            2.8            1.2            1.0            0.9            1.0            0.5            0.1            0.1            0.0            0.0            0.0
     11/01/2001           2001             11          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.629          0.000           11.9            0.8            0.0            0.0            5.0            2.8            1.2            1.0            0.9            1.0            0.6            0.1            0.1            0.0            0.0            0.0
     12/01/2001           2001             12          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.404          0.000           12.1            0.8            0.0            0.0            5.1            2.9            1.2            0.9            0.9            1.0            0.6            0.1            0.1            0.0            0.0            0.0
     13/01/2001           2001             13          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.183          0.000           12.3            0.9            0.0            0.0            5.3            2.9            1.3            0.9            0.9            1.0            0.6            0.1            0.1            0.0            0.0            0.0
     14/01/2001           2001             14          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.965          0.000           12.5            0.9            0.0            0.0            5.5            2.9            1.3            0.9            0.9            1.0            0.6            0.1            0.1            0.0            0.0            0.0
     15/01/2001           2001             15          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.750          0.000           23.0           51.3           39.4            0.0           15.9            3.0            1.3            0.9            0.9            1.0           51.1            0.2            0.1            0.0            0.0            0.0
     16/01/2001           2001             16          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.539          0.000           35.7           63.2           15.2            0.0           28.5            3.0            1.4            0.9            0.9            1.0           62.9            0.2            0.1            0.0            0.0            0.0
     17/01/2001           2001             17          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.330          0.000           48.5           60.1            5.7            0.0           41.3            3.1            1.4            0.9            0.9            1.0           59.8            0.2            0.1            0.0            0.0            0.0
