ApsimVersion = 7.7
Title = Transplanted_paddy_rice_single
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation         sat(1)         sat(2)         dul(2)
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)
     01/01/2001           2001              1        204.692            9.8              0              0            0.0            0.0            0.0            7.6          0.000          0.386          0.360            9.8            2.6            0.8            0.1            0.1            0.1            0.1          0.000          0.000          0.436          0.437          0.387
     02/01/2001           2001              2        202.608           10.7              0              0            0.0            0.0            0.0            7.8          0.000          0.386          0.347           10.7            2.1            0.6            0.1            0.1            0.1            0.1          0.000          0.000          0.436          0.437          0.387
     03/01/2001           2001              3        201.585           11.4              0              0            0.0            0.0            0.0            8.0          0.000          0.386          0.340           11.4            1.8            0.5            0.1            0.0            0.0            0.1          0.000          0.000          0.436          0.437          0.387
     04/01/2001           2001              4        200.796           12.1              0              0            0.0            0.0            0.0            8.3          0.000          0.386          0.336           12.1            1.5            0.3            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     05/01/2001           2001              5        200.129           12.6              0              0            0.0            0.0            0.0            8.5          0.000          0.386          0.332           12.6            1.3            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     06/01/2001           2001              6        199.541           13.0              0              0            0.0            0.0            0.0            8.8          0.000          0.386          0.329           13.0            1.2            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     07/01/2001           2001              7        199.009           13.4              0              0            0.0            0.0            0.0            9.0          0.000          0.386          0.326           13.4            1.1            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     08/01/2001           2001              8        198.520           13.7              0              0            0.0            0.0            0.0            9.2          0.000          0.386          0.323           13.7            1.1            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     09/01/2001           2001              9        198.064           14.0              0              0            0.0            0.0            0.0            9.5          0.000          0.386          0.321           14.0            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     10/01/2001           2001             10        197.636           14.2              0              0            0.0            0.0            0.0            9.7          0.000          0.386          0.318           14.2            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     11/01/2001           2001             11        197.231           14.5              0              0            0.0            0.0            0.0           10.0          0.000          0.386          0.316           14.5            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     12/01/2001           2001             12        196.846           14.8              0              0            0.0            0.0            0.0           10.2          0.000          0.386          0.315           14.8            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     13/01/2001           2001             13        196.478           15.1              0              0            0.0            0.0            0.0           10.5          0.000          0.386          0.313           15.1            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     14/01/2001           2001             14        196.125           15.5              0              0            0.0            0.0            0.0           10.8          0.000          0.386          0.311           15.5            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     15/01/2001           2001             15        195.785           15.8              0              0            0.0            0.0            0.0           11.0          0.000          0.386          0.309           15.8            1.0            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     16/01/2001           2001             16        195.457           16.1              0              0            0.0            0.0            0.0           11.3          0.000          0.386          0.308           16.1            1.0            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     17/01/2001           2001             17        195.140           16.5              0              0            0.0            0.0            0.0           11.6          0.000          0.386          0.307           16.5            1.0            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     18/01/2001           2001             18        194.832           16.9              0              0            0.0            0.0            0.0           11.9          0.000          0.386          0.305           16.9            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     19/01/2001           2001             19        194.534           17.4              0              0            0.0            0.0            0.0           12.3          0.000          0.386          0.304           17.4            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     20/01/2001           2001             20        194.243           17.8              0              0            0.0            0.0            0.0           12.6          0.000          0.386          0.303           17.8            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     21/01/2001           2001             21        193.960           18.3              0              0            0.0            0.0            0.0           12.9          0.000          0.386          0.301           18.3            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     22/01/2001           2001             22        193.684           18.7              0              0            0.0            0.0            0.0           13.3          0.000          0.386          0.300           18.7            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     23/01/2001           2001             23        193.415           19.2              0              0            0.0            0.0            0.0           13.6          0.000          0.386          0.299           19.2            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     24/01/2001           2001             24        193.152           19.7              0              0            0.0            0.0            0.0           13.9          0.000          0.386          0.298           19.7            0.9            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     25/01/2001           2001             25        192.894           20.2              0              0            0.0            0.0            0.0           14.3          0.000          0.386          0.297           20.2            0.8            0.2            0.1            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     26/01/2001           2001             26        192.642           20.7              0              0            0.0            0.0            0.0           14.6          0.000          0.386          0.296           20.7            0.8            0.2            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     27/01/2001           2001             27        192.394           21.1              0              0            0.0            0.0            0.0           14.9          0.000          0.386          0.295           21.1            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     28/01/2001           2001             28        192.152           21.5              0              0            0.0            0.0            0.0           15.1          0.000          0.386          0.294           21.5            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     29/01/2001           2001             29        191.913           21.9              0              0            0.0            0.0            0.0           15.4          0.000          0.386          0.293           21.9            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     30/01/2001           2001             30        191.679           22.3              0              0            0.0            0.0            0.0           15.7          0.000          0.386          0.292           22.3            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     31/01/2001           2001             31        191.449           22.7              0              0            0.0            0.0            0.0           15.9          0.000          0.386          0.291           22.7            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     01/02/2001           2001             32        191.223           23.2              0              0            0.0            0.0            0.0           16.2          0.000          0.386          0.290           23.2            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     02/02/2001           2001             33        191.000           23.7              0              0            0.0            0.0            0.0           16.5          0.000          0.386          0.289           23.7            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     03/02/2001           2001             34        190.781           24.2              0              0            0.0            0.0            0.0           16.8          0.000          0.386          0.289           24.2            0.8            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     04/02/2001           2001             35        190.565           24.8              0              0            0.0            0.0            0.0           17.1          0.000          0.386          0.288           24.8            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     05/02/2001           2001             36        190.353           25.3              0              0            0.0            0.0            0.0           17.5          0.000          0.386          0.287           25.3            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     06/02/2001           2001             37        190.143           25.9              0              0            0.0            0.0            0.0           17.8          0.000          0.386          0.286           25.9            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     07/02/2001           2001             38        189.936           26.4              0              0            0.0            0.0            0.0           18.1          0.000          0.386          0.286           26.4            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     08/02/2001           2001             39        189.732           26.9              0              0            0.0            0.0            0.0           18.4          0.000          0.386          0.285           26.9            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     09/02/2001           2001             40        189.531           27.4              0              0            0.0            0.0            0.0           18.7          0.000          0.386          0.284           27.4            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     10/02/2001           2001             41        189.332           27.9              0              0            0.0            0.0            0.0           19.0          0.000          0.386          0.283           27.9            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     11/02/2001           2001             42        189.136           28.4              0              0            0.0            0.0            0.0           19.2          0.000          0.386          0.283           28.4            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     12/02/2001           2001             43        188.942           28.9              0              0            0.0            0.0            0.0           19.5          0.000          0.386          0.282           28.9            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     13/02/2001           2001             44        188.750           29.4              0              0            0.0            0.0            0.0           19.8          0.000          0.386          0.281           29.4            0.7            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
     14/02/2001           2001             45        188.561           29.9              0              0            0.0            0.0            0.0           20.1          0.000          0.386          0.281           29.9            0.6            0.3            0.2            0.0            0.0            0.0          0.000          0.000          0.436          0.437          0.387
