ApsimVersion = 7.10
Title = Silt fertilised short
           Date           year            day           rain      dlayer(1)      dlayer(2)      dlayer(3)      dlayer(4)      dlayer(5)      dlayer(6)            esw          drain      NO3_Total      NH4_Total         urea()         dnit()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
     14/01/2001           2001             14          0.000        150.000        150.000        300.000        300.000        300.000        300.000        104.120          0.000            9.5            3.1            0.0            0.0            4.8            1.9            0.7            0.7            0.7            0.7            1.8            0.9            0.1            0.1            0.1            0.1
     15/01/2001           2001             15          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.847          0.000           17.5           50.0           44.3            0.0           12.6            2.1            0.7            0.7            0.7            0.7           49.0            0.7            0.1            0.1            0.1            0.1
     16/01/2001           2001             16          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.580          0.000           28.4           64.3           18.6            0.0           23.2            2.2            0.8            0.7            0.7            0.7           63.6            0.5            0.1            0.0            0.0            0.1
     17/01/2001           2001             17          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.319          0.000           40.5           63.1            7.3            0.0           35.2            2.3            0.8            0.7            0.7            0.7           62.6            0.4            0.1            0.0            0.0            0.0
     18/01/2001           2001             18          0.000        150.000        150.000        300.000        300.000        300.000        300.000        103.063          0.000           53.0           55.0            2.7            0.0           47.6            2.4            0.8            0.7            0.7            0.7           54.6            0.3            0.1            0.0            0.0            0.0
     19/01/2001           2001             19          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.813          0.000           64.3           45.4            1.0            0.0           58.9            2.5            0.8            0.7            0.7            0.7           45.1            0.2            0.1            0.0            0.0            0.0
     20/01/2001           2001             20          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.567          0.000           74.3           36.3            0.3            0.0           68.8            2.5            0.8            0.7            0.7            0.7           36.1            0.2            0.1            0.0            0.0            0.0
     21/01/2001           2001             21          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.326          0.000           82.8           28.3            0.1            0.0           77.3            2.6            0.9            0.7            0.6            0.7           28.1            0.1            0.1            0.0            0.0            0.0
     22/01/2001           2001             22          0.000        150.000        150.000        300.000        300.000        300.000        300.000        102.090          0.000           89.8           21.6            0.0            0.0           84.3            2.7            0.9            0.6            0.6            0.7           21.5            0.1            0.1            0.0            0.0            0.0
     23/01/2001           2001             23          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.857          0.000           95.5           16.3            0.0            0.0           89.9            2.7            0.9            0.6            0.6            0.7           16.1            0.1            0.1            0.0            0.0            0.0
     24/01/2001           2001             24          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.629          0.000          100.0           12.1            0.0            0.0           94.4            2.8            0.9            0.6            0.6            0.7           11.9            0.1            0.1            0.0            0.0            0.0
     25/01/2001           2001             25          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.404          0.000          103.3            9.2            0.0            0.0           97.6            2.8            1.0            0.6            0.6            0.7            9.0            0.1            0.1            0.0            0.0            0.0
     26/01/2001           2001             26          0.000        150.000        150.000        300.000        300.000        300.000        300.000        101.183          0.000          105.7            7.1            0.0            0.0          100.0            2.9            1.0            0.6            0.6            0.7            6.9            0.1            0.1            0.0            0.0            0.0
     27/01/2001           2001             27          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.965          0.000          107.5            5.6            0.0            0.0          101.7            2.9            1.0            0.6            0.6            0.7            5.3            0.1            0.1            0.0            0.0            0.0
     28/01/2001           2001             28          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.750          0.000          108.9            4.5            0.0            0.0          103.0            3.0            1.1            0.6            0.5            0.7            4.2            0.2            0.1            0.0            0.0            0.0
     29/01/2001           2001             29          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.539          0.000          110.0            3.7            0.0            0.0          104.1            3.0            1.1            0.6            0.5            0.7            3.4            0.2            0.1            0.0            0.0            0.0
     30/01/2001           2001             30          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.330          0.000          110.9            3.1            0.0            0.0          104.9            3.1            1.1            0.6            0.5            0.7            2.8            0.2            0.1            0.0            0.0            0.0
     31/01/2001           2001             31          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.125          0.000          111.8            2.6            0.0            0.0          105.7            3.1            1.2            0.6            0.5            0.7            2.2            0.2            0.1            0.0            0.0            0.0
