ApsimVersion = 7.7
Title = Rice
           Date           ancr           anlv           anso    cover_green      cover_tot      crop_type        cropsta            dae           dtga            dvr            dvs            eff           etae            etd           etrd           fnlv            gcr         height             hu         ldstrs         lestrs         lrstrs           nacr           nflv           pcew   plant_status           rlai         rnstrs           ssga         tnsoil            trc           wagt           wlvd           wlvg            wso            wst            zrt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)          (0-1)          (0-1)             ()             ()            (d)        (kg/ha)             ()             ()             ()         (mm/d)         (mm/d)         (mm/d)             ()      (kg/ha/d)           (mm)             ()             ()             ()             ()      (kg/ha/d)             ()             ()             ()             ()             ()             ()        (kg/ha)         (mm/d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (m)
     01/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.000          3.874          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000           11.0          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     02/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.968          3.743          2.905          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000           10.7          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     03/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.936          3.811          2.807          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            9.3          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     04/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.953          3.623          2.858          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            7.4          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     05/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.906          4.814          2.717          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            6.3          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     06/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          1.204          5.519          3.611          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            6.5          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     07/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          1.380          3.688          4.139          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            6.2          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     08/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.922          3.601          2.766          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            5.0          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     09/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.900          3.545          2.701          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            3.9          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     10/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          0.886          5.133          2.659          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            3.5          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     11/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          1.283          4.999          3.850          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            3.7          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     12/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          1.250          4.712          3.750          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            3.9          0.000            0.0            0.0            0.0            0.0            0.0          0.000
     13/10/1990            0.0            0.0            0.0          0.000          0.000           rice              0              0            0.0          0.000          0.000          0.000          1.178          3.784          3.534          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000            4.1          0.000            0.0            0.0            0.0            0.0            0.0          0.000
