ApsimVersion = 7.5
Title = Effluent-irrigated Eucalypt Forest Block
           Date            esw            lai   adm_green(1)   adm_green(2)   adm_green(3)             fw             fn         plants          no3()          nh4()           cl()          drain    no3_leached     irrigation irrigation_no3
   (dd/mm/yyyy)           (mm)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)          (0-1)          (0-1)          (/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)           (mm)        (kg/ha)
     01/01/1980        143.836          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.0            2.8          650.0          0.000            0.0          0.000            0.0
     02/01/1980        141.885          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            2.4          650.0          0.000            0.0          0.000            0.0
     03/01/1980        140.598          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            2.2          650.0          0.000            0.0          0.000            0.0
     04/01/1980        139.563          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            2.0          650.0          0.000            0.0          0.000            0.0
     05/01/1980        138.673          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.9            1.9          650.0          0.000            0.0          0.000            0.0
     06/01/1980        137.880          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            1.8          650.0          0.000            0.0          0.000            0.0
     07/01/1980        137.158          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            1.7          650.0          0.000            0.0          0.000            0.0
     08/01/1980        136.490          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.8            1.7          650.0          0.000            0.0          0.000            0.0
     09/01/1980        136.613          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.1            1.7          650.0          0.000            0.0          0.000            0.0
     10/01/1980        135.982          0.000            0.0            0.0            0.0          0.000          0.000          0.000           34.8            1.7          650.0          0.000            0.0          0.000            0.0
     11/01/1980        135.388          0.000            0.0            0.0            0.0          0.000          0.000          0.000           34.9            1.7          650.0          0.000            0.0          0.000            0.0
     12/01/1980        134.826          0.000            0.0            0.0            0.0          0.000          0.000          0.000           34.9            1.7          650.0          0.000            0.0          0.000            0.0
     13/01/1980        134.291          0.000            0.0            0.0            0.0          0.000          0.000          0.000           34.9            1.7          650.0          0.000            0.0          0.000            0.0
     14/01/1980        133.779          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.0            1.7          650.0          0.000            0.0          0.000            0.0
     15/01/1980        133.288          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.0            1.7          650.0          0.000            0.0          0.000            0.0
     16/01/1980        132.815          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.1            1.6          650.0          0.000            0.0          0.000            0.0
     17/01/1980        132.358          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.2            1.6          650.0          0.000            0.0          0.000            0.0
     18/01/1980        131.916          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.3            1.6          650.0          0.000            0.0          0.000            0.0
     19/01/1980        131.488          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.3            1.6          650.0          0.000            0.0          0.000            0.0
     20/01/1980        131.072          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.4            1.6          650.0          0.000            0.0          0.000            0.0
     21/01/1980        130.667          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.5            1.6          650.0          0.000            0.0          0.000            0.0
     22/01/1980        130.272          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.6            1.6          650.0          0.000            0.0          0.000            0.0
     23/01/1980        129.888          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.7            1.6          650.0          0.000            0.0          0.000            0.0
     24/01/1980        129.512          0.000            0.0            0.0            0.0          0.000          0.000          0.000           35.9            1.6          650.0          0.000            0.0          0.000            0.0
     25/01/1980        129.218          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     26/01/1980        129.052          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.1            1.6          650.0          0.000            0.0          0.000            0.0
     27/01/1980        128.887          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.2            1.6          650.0          0.000            0.0          0.000            0.0
     28/01/1980        132.569          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     29/01/1980        132.120          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     30/01/1980        131.686          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.1            1.6          650.0          0.000            0.0          0.000            0.0
     31/01/1980        131.264          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.2            1.6          650.0          0.000            0.0          0.000            0.0
     01/02/1980        130.854          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.4            1.6          650.0          0.000            0.0          0.000            0.0
     02/02/1980        130.455          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.5            1.6          650.0          0.000            0.0          0.000            0.0
     03/02/1980        130.066          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.7            1.6          650.0          0.000            0.0          0.000            0.0
     04/02/1980        129.686          0.000            0.0            0.0            0.0          0.000          0.000          0.000           36.8            1.7          650.0          0.000            0.0          0.000            0.0
     05/02/1980        129.315          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.0            1.7          650.0          0.000            0.0          0.000            0.0
     06/02/1980        130.319          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.0            1.6          650.0          0.000            0.0          0.000            0.0
     07/02/1980        129.933          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.1            1.6          650.0          0.000            0.0          0.000            0.0
     08/02/1980        129.556          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.2            1.6          650.0          0.000            0.0          0.000            0.0
     09/02/1980        129.188          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.4            1.6          650.0          0.000            0.0          0.000            0.0
     10/02/1980        140.986          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.5            1.7          650.0          0.000            0.0          0.000            0.0
     11/02/1980        139.555          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.7            1.7          650.0          0.000            0.0          0.000            0.0
     12/02/1980        138.666          0.000            0.0            0.0            0.0          0.000          0.000          0.000           37.8            1.7          650.0          0.000            0.0          0.000            0.0
     13/02/1980        137.874          0.000            0.0            0.0            0.0          0.000          0.000          0.000           38.0            1.7          650.0          0.000            0.0          0.000            0.0
     14/02/1980        137.152          0.000            0.0            0.0            0.0          0.000          0.000          0.000           38.2            1.7          650.0          0.000            0.0          0.000            0.0
     15/02/1980        136.485          0.000            0.0            0.0            0.0          0.000          0.000          0.000           38.4            1.7          650.0          0.000            0.0          0.000            0.0
     16/02/1980        135.861          0.000            0.0            0.0            0.0          0.000          0.000          0.000           38.6            1.7          650.0          0.000            0.0          0.000            0.0
     17/02/1980        135.274          0.000            0.0            0.0            0.0          0.000          0.000          0.000           38.8            1.7          650.0          0.000            0.0          0.000            0.0
     18/02/1980        134.718          0.000            0.0            0.0            0.0          0.000          0.000          0.000           39.0            1.7          650.0          0.000            0.0          0.000            0.0
