ApsimVersion = 7.3
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
   (dd/mm/yyyy)        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     01/01/1988            0.0          0.000           0.00           0.00           0.00         26.586          0.000          0.000          0.000           0.00
     02/01/1988            0.0          0.000           0.00           0.00           0.00         28.256          0.000          0.000          0.000           0.00
     03/01/1988            0.0          0.000           0.00           0.00           0.00         29.596          0.000          0.000          0.000           0.00
     04/01/1988            0.0          0.000           0.00           0.00           0.00         30.840          0.000          0.000          0.000           0.00
     05/01/1988            0.0          0.000           0.00           0.00           0.00         31.742          0.000          0.000          0.000           0.00
     06/01/1988            0.0          0.000           0.00           0.00           0.00         31.348          0.000          0.000          0.000           0.00
     07/01/1988            0.0          0.000           0.00           0.00           0.00         30.928          0.000          0.000          0.000           0.00
     08/01/1988            0.0          0.000           0.00           0.00           0.00         30.908          0.000          0.000          0.000           0.00
     09/01/1988            0.0          0.000           0.00           0.00           0.00         31.551          0.000          0.000          0.000           0.00
     10/01/1988            0.0          0.000           0.00           0.00           0.00         32.709          0.000          0.000          0.000           0.00
     11/01/1988            0.0          0.000           0.00           0.00           0.00         33.862          0.000          0.000          0.000           0.00
     12/01/1988            0.0          0.000           0.00           0.00           0.00         34.067          0.000          0.000          0.000           0.00
     13/01/1988            0.0          0.000           0.00           0.00           0.00         34.120          0.000          0.000          0.000           0.00
     14/01/1988            0.0          0.000           0.00           0.00           0.00         33.655          0.000          0.000          0.000           0.00
     15/01/1988            0.0          0.000           0.00           0.00           0.00         33.045          0.000          0.000          0.000           0.00
     16/01/1988            0.0          0.000           0.00           0.00           0.00         30.766          0.000          0.000          0.000           0.00
     17/01/1988            0.0          0.000           0.00           0.00           0.00         29.492          0.000          0.000          0.000           0.00
     18/01/1988            0.0          0.000           0.00           0.00           0.00         29.909          0.000          0.000          0.000           0.00
     19/01/1988            0.0          0.000           0.00           0.00           0.00         29.847          0.000          0.000          0.000           0.00
     20/01/1988            0.0          0.000           0.00           0.00           0.00         29.775          0.000          0.000          0.000           0.00
     21/01/1988            0.0          0.000           0.00           0.00           0.00         32.016          0.000          0.000          0.000           0.00
     22/01/1988            0.0          0.000           0.00           0.00           0.00         33.379          0.000          0.000          0.000           0.00
     23/01/1988            0.0          0.000           0.00           0.00           0.00         32.843          0.000          0.000          0.000           0.00
     24/01/1988            0.0          0.000           0.00           0.00           0.00         32.973          0.000          0.000          0.000           0.00
     25/01/1988            0.0          0.000           0.00           0.00           0.00         32.206          0.000          0.000          0.000           0.00
     26/01/1988            0.0          0.000           0.00           0.00           0.00         31.049          0.000          0.000          0.000           0.00
     27/01/1988            0.0          0.000           0.00           0.00           0.00         30.141          0.000          0.000          0.000           0.00
     28/01/1988            0.0          0.000           0.00           0.00           0.00         29.870          0.000          0.000          0.000           0.00
     29/01/1988            0.0          0.000           0.00           0.00           0.00         29.326          0.000          0.000          0.000           0.00
     30/01/1988            0.0          0.000           0.00           0.00           0.00         29.594          0.000          0.000          0.000           0.00
     31/01/1988            0.0          0.000           0.00           0.00           0.00         30.337          0.000          0.000          0.000           0.00
     01/02/1988            0.0          0.000           0.00           0.00           0.00         31.540          0.000          0.000          0.000           0.00
     02/02/1988            0.0          0.000           0.00           0.00           0.00         31.043          0.000          0.000          0.000           0.00
     03/02/1988            0.0          0.000           0.00           0.00           0.00         30.671          0.000          0.000          0.000           0.00
     04/02/1988            0.0          0.000           0.00           0.00           0.00         30.659          0.000          0.000          0.000           0.00
     05/02/1988            0.0          0.000           0.00           0.00           0.00         30.258          0.000          0.000          0.000           0.00
     06/02/1988            0.0          0.000           0.00           0.00           0.00         29.695          0.000          0.000          0.000           0.00
     07/02/1988            0.0          0.000           0.00           0.00           0.00         29.576          0.000          0.000          0.000           0.00
     08/02/1988            0.0          0.000           0.00           0.00           0.00         28.682          0.000          0.000          0.000           0.00
     09/02/1988            0.0          0.000           0.00           0.00           0.00         28.187          0.000          0.000          0.000           0.00
     10/02/1988            0.0          0.000           0.00           0.00           0.00         28.003          0.000          0.000          0.000           0.00
     11/02/1988            0.0          0.000           0.00           0.00           0.00         27.914          0.000          0.000          0.000           0.00
     12/02/1988            0.0          0.000           0.00           0.00           0.00         29.074          0.000          0.000          0.000           0.00
     13/02/1988            0.0          0.000           0.00           0.00           0.00         29.650          0.000          0.000          0.000           0.00
     14/02/1988            0.0          0.000           0.00           0.00           0.00         29.258          0.000          0.000          0.000           0.00
     15/02/1988            0.0          0.000           0.00           0.00           0.00         28.699          0.000          0.000          0.000           0.00
     16/02/1988            0.0          0.000           0.00           0.00           0.00         27.920          0.000          0.000          0.000           0.00
     17/02/1988            0.0          0.000           0.00           0.00           0.00         26.854          0.000          0.000          0.000           0.00
     18/02/1988            0.0          0.000           0.00           0.00           0.00         26.962          0.000          0.000          0.000           0.00
     19/02/1988            0.0          0.000           0.00           0.00           0.00         27.752          0.000          0.000          0.000           0.00
     20/02/1988            0.0          0.000           0.00           0.00           0.00         28.478          0.000          0.000          0.000           0.00
     21/02/1988            0.0          0.000           0.00           0.00           0.00         29.074          0.000          0.000          0.000           0.00
     22/02/1988            0.0          0.000           0.00           0.00           0.00         29.688          0.000          0.000          0.000           0.00
     23/02/1988            0.0          0.000           0.00           0.00           0.00         30.486          0.000          0.000          0.000           0.00
     24/02/1988            0.0          0.000           0.00           0.00           0.00         31.006          0.000          0.000          0.000           0.00
     25/02/1988            0.0          0.000           0.00           0.00           0.00         31.261          0.000          0.000          0.000           0.00
