ApsimVersion = 7.6
Title = 12) Pongola 1986-87 N14 1R
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)      no3ppm(8)      no3ppm(9)     no3ppm(10)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)         nh4(8)         nh4(9)        nh4(10)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)      nh4ppm(8)      nh4ppm(9)     nh4ppm(10)
   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)
     12/11/1986        pongola        1986-87          2.000           1986            316              1          alive              1          0.000          172.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.6            3.7            2.5            2.4            2.4            4.4            4.3            4.3            4.3            4.3            0.0        249.755          2.211          1.222          1.107          1.106          1.106          1.073          1.073          1.073          1.073            0.5            1.3            1.6            0.8            0.8            1.6            1.7            1.7            1.7            1.7          0.748          0.753          0.749          0.368          0.371          0.386          0.422          0.423          0.424          0.425
     13/11/1986        pongola        1986-87          2.000           1986            317              2          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.6            4.0            2.9            2.6            2.6            4.8            4.6            4.6            4.6            4.6            0.0        249.814          2.387          1.412          1.196          1.195          1.199          1.134          1.135          1.136          1.136            0.5            0.9            1.1            0.5            0.6            1.1            1.4            1.4            1.4            1.5          0.748          0.535          0.526          0.252          0.258          0.285          0.355          0.358          0.360          0.361
     14/11/1986        pongola        1986-87          2.000           1986            318              3          alive              1          0.000            0.0          0.000          0.400          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.7            4.2            3.3            2.7            2.7            5.1            4.8            4.8            4.8            4.8            0.0        249.876          2.531          1.568          1.264          1.265          1.278          1.186          1.187          1.188          1.189            0.5            0.6            0.7            0.3            0.4            0.8            1.2            1.2            1.2            1.2          0.748          0.352          0.338          0.155          0.163          0.198          0.297          0.302          0.305          0.307
     15/11/1986        pongola        1986-87          2.000           1986            319              4          alive              1          0.000            0.0          0.000          2.400          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.7            4.4            3.5            2.8            2.8            5.4            4.9            5.0            5.0            5.0            0.0        249.939          2.625          1.670          1.305          1.308          1.335          1.229          1.231          1.233          1.234            0.5            0.4            0.4            0.2            0.2            0.5            1.0            1.0            1.0            1.0          0.748          0.227          0.206          0.088          0.096          0.134          0.248          0.254          0.258          0.260
     16/11/1986        pongola        1986-87          2.000           1986            320              5          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.8            4.5            3.6            2.8            2.9            5.5            5.1            5.1            5.1            5.1            0.0        250.004          2.679          1.730          1.326          1.332          1.373          1.265          1.268          1.271          1.272            0.5            0.2            0.2            0.1            0.1            0.4            0.8            0.9            0.9            0.9          0.748          0.148          0.119          0.044          0.050          0.089          0.207          0.214          0.218          0.221
     17/11/1986        pongola        1986-87          2.000           1986            321              6          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.8            4.5            3.7            2.9            2.9            5.6            5.2            5.2            5.2            5.2            0.0        250.069          2.707          1.762          1.332          1.341          1.397          1.295          1.300          1.303          1.305            0.5            0.2            0.1            0.0            0.0            0.2            0.7            0.7            0.7            0.8          0.748          0.101          0.065          0.016          0.021          0.058          0.172          0.180          0.184          0.187
     18/11/1986        pongola        1986-87          2.000           1986            322              7          alive              1          0.000            0.0          0.000          0.800          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.8            4.5            3.7            2.9            2.9            5.7            5.3            5.3            5.3            5.4            0.0        250.134          2.720          1.777          1.330          1.343          1.413          1.319          1.326          1.330          1.332            0.5            0.1            0.1            0.0            0.0            0.1            0.6            0.6            0.6            0.6          0.748          0.075          0.032          0.000          0.003          0.037          0.143          0.151          0.155          0.158
     19/11/1986        pongola        1986-87          2.000           1986            323              8          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.9            4.5            3.7            2.8            2.9            5.7            5.4            5.4            5.4            5.4            0.0        250.197          2.723          1.781          1.315          1.332          1.421          1.340          1.348          1.352          1.355            0.5            0.1            0.0            0.0            0.0            0.1            0.5            0.5            0.5            0.5          0.748          0.062          0.013          0.000          0.000          0.024          0.119          0.126          0.131          0.134
     20/11/1986        pongola        1986-87          2.000           1986            324              9          alive              1          0.000            0.0          0.000          0.500          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          173.9            4.5            3.7            2.8            2.8            5.7            5.5            5.5            5.5            5.5            0.0        250.260          2.724          1.780          1.302          1.319          1.426          1.357          1.366          1.372          1.375            0.5            0.1            0.0            0.0            0.0            0.1            0.4            0.4            0.4            0.5          0.748          0.056          0.001          0.000          0.000          0.015          0.098          0.106          0.111          0.114
     21/11/1986        pongola        1986-87          2.000           1986            325             10          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          174.0            4.5            3.7            2.8            2.8            5.7            5.5            5.6            5.6            5.6            0.0        250.322          2.725          1.770          1.291          1.307          1.429          1.371          1.381          1.388          1.392            0.5            0.1            0.0            0.0            0.0            0.0            0.3            0.4            0.4            0.4          0.748          0.053          0.000          0.000          0.000          0.008          0.081          0.088          0.093          0.096
     22/11/1986        pongola        1986-87          2.000           1986            326             11          alive              1          0.000            0.0          0.000          1.900          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000          174.0            4.6            3.7            2.7            2.8            5.8            5.6            5.6            5.6            5.7            0.0        250.382          2.729          1.759          1.279          1.296          1.431          1.383          1.394          1.401          1.406            0.5            0.1            0.0            0.0            0.0            0.0            0.3            0.3            0.3            0.3          0.748          0.052          0.000          0.000          0.000          0.003          0.066          0.073          0.078          0.081
     23/11/1986        pongola        1986-87          2.000           1986            327             12          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.53           3.53           2.00           1.43           0.74          0.010          1.000          0.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.03           0.02          1.000          174.1            4.6            3.6            2.7            2.8            5.7            5.6            5.6            5.7            5.7            0.0        250.442          2.735          1.750          1.269          1.285          1.430          1.392          1.405          1.413          1.418            0.5            0.1            0.0            0.0            0.0            0.0            0.2            0.2            0.3            0.3          0.748          0.053          0.000          0.000          0.000          0.000          0.054          0.061          0.065          0.068
     24/11/1986        pongola        1986-87          2.000           1986            328             13          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.73           3.73           2.13           1.51           0.74          0.011          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.03           0.02          1.000          174.1            4.6            3.6            2.7            2.7            5.7            5.6            5.7            5.7            5.7            0.0        250.501          2.743          1.742          1.260          1.275          1.427          1.399          1.413          1.422          1.428            0.5            0.1            0.0            0.0            0.0            0.0            0.2            0.2            0.2            0.2          0.748          0.055          0.000          0.000          0.000          0.000          0.043          0.050          0.055          0.058
     25/11/1986        pongola        1986-87          2.000           1986            329             14          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.93           3.93           2.25           1.58           0.74          0.013          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.03           0.02          1.000          174.1            4.6            3.6            2.7            2.7            5.7            5.6            5.7            5.7            5.8            0.0        250.560          2.756          1.735          1.252          1.266          1.424          1.405          1.421          1.430          1.436            0.5            0.1            0.0            0.0            0.0            0.0            0.1            0.2            0.2            0.2          0.748          0.057          0.000          0.000          0.000          0.000          0.034          0.041          0.046          0.048
     26/11/1986        pongola        1986-87          2.000           1986            330             15          alive              1          0.000            0.0          0.000          1.800          0.001           0.10           0.00          0.000          0.000          0.000           4.15           4.15           2.39           1.66           0.73          0.014          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.03           0.02          1.000          174.2            4.6            3.6            2.7            2.7            5.7            5.7            5.7            5.8            5.8            0.0        250.617          2.774          1.728          1.244          1.257          1.421          1.410          1.426          1.437          1.443            0.5            0.1            0.0            0.0            0.0            0.0            0.1            0.1            0.2            0.2          0.748          0.058          0.000          0.000          0.000          0.000          0.027          0.034          0.038          0.041
     27/11/1986        pongola        1986-87          2.000           1986            331             16          alive              1          0.000            0.0          0.000          1.000          0.001           0.10           0.00          0.000          0.000          0.000           4.39           4.39           2.54           1.75           0.73          0.016          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.02           0.02          1.000          174.2            4.7            3.6            2.7            2.7            5.7            5.7            5.8            5.8            5.8            0.0        250.675          2.793          1.723          1.237          1.249          1.418          1.414          1.431          1.442          1.449            0.5            0.1            0.0            0.0            0.0            0.0            0.1            0.1            0.1            0.1          0.748          0.059          0.000          0.000          0.000          0.000          0.021          0.027          0.031          0.034
     28/11/1986        pongola        1986-87          2.000           1986            332             17          alive              1          0.000            0.0          0.000          0.500          0.001           0.10           0.00          0.000          0.000          0.000           4.60           4.60           2.67           1.82           0.73          0.018          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.00           0.01           0.02           0.02          1.000          174.3            4.7            3.6            2.6            2.7            5.7            5.7            5.8            5.8            5.8            0.0        250.732          2.812          1.718          1.232          1.242          1.416          1.416          1.435          1.447          1.454            0.5            0.1            0.0            0.0            0.0            0.0            0.1            0.1            0.1            0.1          0.748          0.061          0.000          0.000          0.000          0.000          0.015          0.022          0.026          0.029
