ApsimVersion = 7.8
Title = 19a) Simunye 1994-95 NCo376 1R Irrigation Treatment 1
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)      no3ppm(8)      no3ppm(9)     no3ppm(10)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)         nh4(8)         nh4(9)        nh4(10)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)      nh4ppm(8)      nh4ppm(9)     nh4ppm(10)
   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)
     10/08/1994        simunye        1994-95          1.000           1994            222              1          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000            0.6            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8          1.000          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     11/08/1994        simunye        1994-95          1.000           1994            223              2          alive              1          0.000          140.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           17.2            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8         27.735          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     12/08/1994        simunye        1994-95          1.000           1994            224              3          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           31.8            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8         51.305          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     13/08/1994        simunye        1994-95          1.000           1994            225              4          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           44.7            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8         72.085          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     14/08/1994        simunye        1994-95          1.000           1994            226              5          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           56.1            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8         90.404          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     15/08/1994        simunye        1994-95          1.000           1994            227              6          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           66.1            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8        106.554          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     16/08/1994        simunye        1994-95          1.000           1994            228              7          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           74.9            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8        120.792          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     17/08/1994        simunye        1994-95          1.000           1994            229              8          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           82.7            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8        133.344          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
     18/08/1994        simunye        1994-95          1.000           1994            230              9          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            1.2            2.5            1.9            1.9            1.9            2.5            3.8            5.6            7.5            7.5            0.0          2.000          2.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000           89.5            1.2            1.9            0.9            1.0            1.3            1.9            2.8            3.8            3.8        144.410          1.000          1.000          0.500          0.500          0.500          0.500          0.500          0.500          0.500
