ApsimVersion = 7.2
Title = 3) Ingham 1992-93 Q117 1R
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)
   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)
     26/08/1992         ingham        1992-93          2.000           1992            239              1          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.0            5.9            3.3            4.7            4.7            4.9            4.9            0.0          2.182          2.172          1.167          1.086          1.088          1.091          1.093            2.1            2.3            2.3            1.8            1.8            1.8            1.8          0.907          0.855          0.816          0.405          0.406          0.406          0.405
     27/08/1992         ingham        1992-93          2.000           1992            240              2          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.5            6.3            3.7            5.1            5.1            5.3            5.3            0.0          2.371          2.336          1.317          1.161          1.166          1.170          1.173            1.9            2.0            1.8            1.4            1.4            1.5            1.5          0.822          0.723          0.649          0.321          0.323          0.323          0.322
     28/08/1992         ingham        1992-93          2.000           1992            241              3          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.9            6.7            4.1            5.3            5.4            5.6            5.6            0.0          2.577          2.498          1.452          1.228          1.234          1.238          1.243            1.7            1.6            1.4            1.1            1.1            1.1            1.1          0.739          0.599          0.496          0.244          0.249          0.250          0.250
     29/08/1992         ingham        1992-93          2.000           1992            242              4          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            6.4            7.2            4.4            5.6            5.6            5.8            5.9            0.0          2.800          2.655          1.568          1.284          1.292          1.297          1.302            1.5            1.3            1.0            0.8            0.8            0.8            0.9          0.664          0.489          0.362          0.178          0.185          0.188          0.190
     30/08/1992         ingham        1992-93          2.000           1992            243              5          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.0            7.6            4.7            5.8            5.8            6.1            6.1            0.0          3.047          2.810          1.664          1.330          1.340          1.345          1.350            1.4            1.1            0.7            0.5            0.6            0.6            0.6          0.594          0.392          0.248          0.122          0.131          0.136          0.139
     31/08/1992         ingham        1992-93          2.000           1992            244              6          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.0            4.9            5.9            6.0            6.2            6.2            0.0          3.297          2.948          1.732          1.363          1.375          1.382          1.387            1.2            0.9            0.5            0.3            0.4            0.4            0.4          0.542          0.320          0.162          0.080          0.090          0.096          0.099
     01/09/1992         ingham        1992-93          2.000           1992            245              7          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            8.2            8.3            5.0            6.0            6.1            6.3            6.4            0.0          3.550          3.073          1.778          1.384          1.400          1.408          1.415            1.2            0.7            0.3            0.2            0.3            0.3            0.3          0.504          0.268          0.101          0.049          0.060          0.065          0.070
     02/09/1992         ingham        1992-93          2.000           1992            246              8          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            8.7            8.6            5.1            6.1            6.2            6.4            6.5            0.0          3.804          3.187          1.806          1.396          1.416          1.426          1.434            1.1            0.6            0.2            0.1            0.2            0.2            0.2          0.479          0.233          0.060          0.028          0.038          0.044          0.048
     03/09/1992         ingham        1992-93          2.000           1992            247              9          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            9.3            8.9            5.1            6.1            6.2            6.5            6.5            0.0          4.045          3.288          1.822          1.403          1.426          1.438          1.447            1.1            0.6            0.1            0.1            0.1            0.1            0.2          0.468          0.213          0.034          0.014          0.023          0.029          0.033
     04/09/1992         ingham        1992-93          2.000           1992            248             10          alive              1          0.000           56.2          0.000          4.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           24.0            9.1            5.1            6.1            6.2            6.5            6.6            0.0         10.454          3.379          1.829          1.405          1.432          1.445          1.456           43.1            0.5            0.1            0.0            0.1            0.1            0.1         18.719          0.203          0.018          0.005          0.014          0.019          0.023
     05/09/1992         ingham        1992-93          2.000           1992            249             11          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           35.9            9.4            5.1            6.1            6.2            6.5            6.6            0.0         15.604          3.468          1.833          1.404          1.435          1.450          1.462           31.7            0.5            0.0            0.0            0.0            0.1            0.1         13.800          0.197          0.009          0.000          0.007          0.012          0.016
     06/09/1992         ingham        1992-93          2.000           1992            250             12          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.53           3.53           2.00           1.43           1.72          0.010          1.000          0.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           45.0            9.6            5.1            6.1            6.2            6.5            6.6            0.0         19.585          3.555          1.834          1.398          1.436          1.452          1.466           23.1            0.5            0.0            0.0            0.0            0.0            0.0         10.049          0.195          0.003          0.000          0.003          0.007          0.010
     07/09/1992         ingham        1992-93          2.000           1992            251             13          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.64           3.64           2.07           1.47           1.72          0.011          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           51.8            9.8            5.1            6.1            6.2            6.5            6.6            0.0         22.543          3.639          1.833          1.393          1.436          1.453          1.469           16.8            0.5            0.0            0.0            0.0            0.0            0.0          7.310          0.195          0.000          0.000          0.000          0.003          0.007
     08/09/1992         ingham        1992-93          2.000           1992            252             14          alive              1          0.000            0.0         25.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.79           3.79           2.16           1.52           1.72          0.012          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           53.5           13.4            5.4            6.1            6.2            6.5            6.6            0.0         23.272          4.979          1.945          1.397          1.435          1.455          1.470           11.9            0.5            0.0            0.0            0.0            0.0            0.0          5.153          0.190          0.000          0.000          0.000          0.001          0.004
     09/09/1992         ingham        1992-93          2.000           1992            253             15          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.93           3.93           2.25           1.58           1.71          0.013          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           56.7           14.5            5.7            6.1            6.2            6.5            6.6            0.0         24.670          5.366          2.040          1.404          1.436          1.455          1.472            8.1            0.5            0.0            0.0            0.0            0.0            0.0          3.519          0.185          0.000          0.000          0.000          0.000          0.002
