ApsimVersion = 7.9
Title = 3) Ingham 1992-93 Q117 1R
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)
   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)
     26/08/1992         ingham        1992-93          2.000           1992            239              1          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.0            5.9            3.3            4.7            4.7            4.9            4.9            0.0          2.182          2.171          1.167          1.086          1.088          1.091          1.093            2.1            2.3            2.3            1.8            1.8            1.8            1.8          0.907          0.855          0.816          0.405          0.406          0.406          0.405
     27/08/1992         ingham        1992-93          2.000           1992            240              2          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.5            6.3            3.7            5.1            5.1            5.3            5.3            0.0          2.371          2.335          1.317          1.161          1.166          1.170          1.173            1.9            2.0            1.8            1.4            1.4            1.5            1.5          0.822          0.723          0.649          0.321          0.323          0.323          0.322
     28/08/1992         ingham        1992-93          2.000           1992            241              3          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.9            6.7            4.1            5.3            5.4            5.6            5.6            0.0          2.578          2.498          1.452          1.228          1.234          1.238          1.243            1.7            1.6            1.4            1.1            1.1            1.1            1.1          0.739          0.599          0.496          0.244          0.249          0.250          0.250
     29/08/1992         ingham        1992-93          2.000           1992            242              4          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            6.4            7.2            4.4            5.6            5.6            5.8            5.9            0.0          2.800          2.655          1.568          1.284          1.292          1.297          1.302            1.5            1.3            1.0            0.8            0.8            0.8            0.9          0.664          0.489          0.362          0.178          0.185          0.188          0.190
     30/08/1992         ingham        1992-93          2.000           1992            243              5          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.0            7.6            4.7            5.8            5.8            6.1            6.1            0.0          3.048          2.810          1.664          1.330          1.340          1.345          1.350            1.4            1.1            0.7            0.5            0.6            0.6            0.6          0.594          0.392          0.248          0.122          0.131          0.136          0.139
     31/08/1992         ingham        1992-93          2.000           1992            244              6          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.0            4.9            5.9            6.0            6.2            6.2            0.0          3.297          2.947          1.732          1.363          1.375          1.382          1.387            1.2            0.9            0.5            0.3            0.4            0.4            0.4          0.542          0.320          0.162          0.080          0.090          0.096          0.099
     01/09/1992         ingham        1992-93          2.000           1992            245              7          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            8.2            8.3            5.0            6.0            6.1            6.3            6.4            0.0          3.550          3.073          1.778          1.384          1.400          1.408          1.415            1.2            0.7            0.3            0.2            0.3            0.3            0.3          0.504          0.268          0.101          0.049          0.060          0.065          0.070
     02/09/1992         ingham        1992-93          2.000           1992            246              8          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            8.7            8.6            5.1            6.1            6.2            6.4            6.5            0.0          3.804          3.187          1.806          1.396          1.416          1.426          1.434            1.1            0.6            0.2            0.1            0.2            0.2            0.2          0.479          0.233          0.060          0.028          0.038          0.044          0.048
     03/09/1992         ingham        1992-93          2.000           1992            247              9          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            9.3            8.9            5.1            6.1            6.2            6.5            6.5            0.0          4.045          3.287          1.822          1.403          1.426          1.438          1.447            1.1            0.6            0.1            0.1            0.1            0.1            0.2          0.468          0.213          0.034          0.014          0.023          0.029          0.033
     04/09/1992         ingham        1992-93          2.000           1992            248             10          alive              1          0.000           56.2          0.000          4.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           24.0            9.1            5.1            6.1            6.2            6.5            6.6            0.0         10.454          3.378          1.829          1.405          1.432          1.445          1.456           43.1            0.5            0.1            0.0            0.1            0.1            0.1         18.719          0.203          0.018          0.005          0.014          0.019          0.023
     05/09/1992         ingham        1992-93          2.000           1992            249             11          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           35.9            9.4            5.1            6.1            6.2            6.5            6.6            0.0         15.604          3.467          1.833          1.404          1.435          1.450          1.462           31.7            0.5            0.0            0.0            0.0            0.1            0.1         13.800          0.197          0.009          0.000          0.007          0.012          0.016
     06/09/1992         ingham        1992-93          2.000           1992            250             12          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           45.0            9.6            5.1            6.1            6.2            6.5            6.6            0.0         19.585          3.554          1.833          1.398          1.436          1.452          1.466           23.1            0.5            0.0            0.0            0.0            0.0            0.0         10.047          0.195          0.003          0.000          0.003          0.007          0.010
     07/09/1992         ingham        1992-93          2.000           1992            251             13          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.53           3.53           2.00           1.43           1.72          0.010          1.000          0.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           51.8            9.8            5.1            6.1            6.2            6.5            6.6            0.0         22.542          3.639          1.833          1.393          1.436          1.453          1.469           16.8            0.5            0.0            0.0            0.0            0.0            0.0          7.307          0.195          0.000          0.000          0.000          0.003          0.007
     08/09/1992         ingham        1992-93          2.000           1992            252             14          alive              1          0.000            0.0         25.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.67           3.67           2.09           1.48           1.72          0.011          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           53.6           13.4            5.4            6.1            6.2            6.5            6.6            0.0         23.288          4.970          1.945          1.397          1.435          1.455          1.470           11.9            0.5            0.0            0.0            0.0            0.0            0.0          5.154          0.191          0.000          0.000          0.000          0.001          0.004
     09/09/1992         ingham        1992-93          2.000           1992            253             15          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           3.80           3.80           2.17           1.53           1.72          0.012          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           57.0           14.3            5.7            6.1            6.2            6.5            6.6            0.0         24.763          5.303          2.032          1.404          1.436          1.455          1.472            8.1            0.5            0.0            0.0            0.0            0.0            0.0          3.522          0.187          0.000          0.000          0.000          0.000          0.002
     10/09/1992         ingham        1992-93          2.000           1992            254             16          alive              1          0.000            0.0          0.000          9.500          0.001           0.10           0.00          0.000          0.000          0.000           3.88           3.88           2.22           1.56           1.71          0.013          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           56.9           17.0            6.1            6.2            6.3            6.6            6.6            0.0         24.742          6.312          2.195          1.418          1.439          1.456          1.473            5.6            0.5            0.0            0.0            0.0            0.0            0.0          2.430          0.183          0.000          0.000          0.000          0.000          0.001
     11/09/1992         ingham        1992-93          2.000           1992            255             17          alive              1          0.000            0.0          0.000          3.800          0.001           0.10           0.00          0.000          0.000          0.000           4.01           4.01           2.30           1.61           1.71          0.013          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           56.7           19.0            6.7            6.3            6.3            6.6            6.6            0.0         24.640          7.025          2.381          1.437          1.444          1.458          1.475            4.0            0.5            0.0            0.0            0.0            0.0            0.0          1.740          0.181          0.000          0.000          0.000          0.000          0.000
     12/09/1992         ingham        1992-93          2.000           1992            256             18          alive              1          0.000            0.0          0.000          1.300          0.001           0.10           0.00          0.000          0.000          0.000           4.13           4.13           2.38           1.65           1.71          0.014          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.03           0.02          1.000           57.6           19.3            7.0            6.3            6.3            6.6            6.6            0.0         25.048          7.152          2.498          1.454          1.449          1.460          1.476            3.0            0.5            0.0            0.0            0.0            0.0            0.0          1.304          0.182          0.000          0.000          0.000          0.000          0.000
     13/09/1992         ingham        1992-93          2.000           1992            257             19          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.29           4.29           2.48           1.71           1.70          0.016          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           58.8           19.2            7.1            6.4            6.3            6.6            6.6            0.1         25.569          7.117          2.550          1.465          1.451          1.461          1.477            2.4            0.5            0.0            0.0            0.0            0.0            0.0          1.028          0.185          0.000          0.000          0.000          0.000          0.000
     14/09/1992         ingham        1992-93          2.000           1992            258             20          alive              1          0.000            0.0          0.000          5.800          0.001           0.10           0.00          0.000          0.000          0.000           4.47           4.47           2.59           1.78           1.70          0.017          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           58.9           20.0            7.3            6.4            6.3            6.6            6.6            0.1         25.603          7.390          2.604          1.472          1.452          1.461          1.477            2.0            0.5            0.0            0.0            0.0            0.0            0.0          0.860          0.188          0.001          0.000          0.000          0.000          0.000
     15/09/1992         ingham        1992-93          2.000           1992            259             21          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.70           4.70           2.74           1.86           1.70          0.018          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           59.7           20.0            7.4            6.4            6.3            6.6            6.6            0.1         25.956          7.405          2.626          1.475          1.451          1.459          1.476            1.7            0.5            0.0            0.0            0.0            0.0            0.0          0.739          0.191          0.001          0.000          0.000          0.000          0.000
     16/09/1992         ingham        1992-93          2.000           1992            260             22          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.94           4.94           2.89           1.95           1.69          0.020          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           60.4           20.1            7.4            6.4            6.3            6.6            6.6            0.1         26.280          7.453          2.632          1.475          1.449          1.456          1.474            1.5            0.5            0.0            0.0            0.0            0.0            0.0          0.651          0.192          0.002          0.000          0.000          0.000          0.000
     17/09/1992         ingham        1992-93          2.000           1992            261             23          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           5.25           5.25           3.08           2.07           1.69          0.022          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           61.1           20.3            7.4            6.4            6.3            6.5            6.6            0.1         26.581          7.520          2.631          1.472          1.446          1.453          1.471            1.4            0.5            0.0            0.0            0.0            0.0            0.0          0.590          0.193          0.002          0.000          0.000          0.000          0.000
