ApsimVersion = 7.2
Title = 15) Ingham 1991-92 Q117 P
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)
             ()             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)
     16/07/1991         ingham        1991-92          1.000           1991            197              1          alive              0          0.000           15.8          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            5.5            5.7            3.2            4.6            4.7            4.9            4.9            0.0          2.384          2.122          1.126          1.068          1.073          1.078          1.083            7.3            2.5            2.5            1.9            1.9            1.9            1.9          3.161          0.921          0.880          0.432          0.427          0.422          0.417
     17/07/1991         ingham        1991-92          1.000           1991            198              2          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            6.8            6.1            3.5            4.9            5.0            5.2            5.2            0.0          2.975          2.248          1.248          1.133          1.141          1.149          1.156            9.9            2.3            2.1            1.6            1.6            1.6            1.5          4.321          0.842          0.763          0.368          0.360          0.351          0.344
     18/07/1991         ingham        1991-92          1.000           1991            199              3          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            8.6            6.4            3.8            5.2            5.2            5.5            5.5            0.0          3.722          2.379          1.366          1.193          1.203          1.212          1.221           11.0            2.1            1.8            1.3            1.3            1.3            1.3          4.776          0.764          0.652          0.309          0.298          0.288          0.280
     19/07/1991         ingham        1991-92          1.000           1991            200              4          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           10.5            6.8            4.1            5.4            5.5            5.7            5.7            0.0          4.583          2.515          1.479          1.249          1.259          1.268          1.277           10.9            1.9            1.5            1.1            1.1            1.0            1.0          4.747          0.689          0.546          0.254          0.243          0.232          0.224
     20/07/1991         ingham        1991-92          1.000           1991            201              5          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           12.6            7.1            4.4            5.6            5.7            5.9            6.0            0.0          5.467          2.647          1.580          1.297          1.306          1.314          1.323           10.2            1.7            1.3            0.9            0.9            0.8            0.8          4.437          0.620          0.453          0.207          0.196          0.185          0.177
     21/07/1991         ingham        1991-92          1.000           1991            202              6          alive              0          0.000            0.0          0.000          0.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           14.5            7.5            4.7            5.8            5.9            6.1            6.1            0.0          6.315          2.773          1.667          1.338          1.346          1.353          1.361            9.2            1.5            1.0            0.7            0.7            0.7            0.6          4.000          0.561          0.374          0.167          0.157          0.147          0.140
     22/07/1991         ingham        1991-92          1.000           1991            203              7          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           16.4            7.8            4.9            6.0            6.0            6.2            6.3            0.0          7.142          2.899          1.745          1.373          1.380          1.385          1.392            8.0            1.4            0.9            0.6            0.5            0.5            0.5          3.495          0.507          0.305          0.133          0.124          0.115          0.109
     23/07/1991         ingham        1991-92          1.000           1991            204              8          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           18.3            8.2            5.1            6.1            6.1            6.4            6.4            0.0          7.970          3.031          1.817          1.404          1.409          1.412          1.419            6.8            1.2            0.7            0.4            0.4            0.4            0.4          2.953          0.457          0.243          0.103          0.095          0.088          0.083
     24/07/1991         ingham        1991-92          1.000           1991            205              9          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           20.1            8.5            5.3            6.2            6.2            6.5            6.5            0.0          8.735          3.162          1.878          1.430          1.433          1.434          1.439            5.6            1.1            0.5            0.3            0.3            0.3            0.3          2.449          0.413          0.192          0.078          0.072          0.066          0.062
