ApsimVersion = 7.6
Title = Wheat Grazing
           Date    LeafGreenWt    StemGreenWt   paddockState            alw  stocking_rate      acc_eaten
   (dd/mm/yyyy)        (g/m^2)        (g/m^2)             ()           (kg)    (beasts/ha)        (kg/ha)
     14/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     15/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     16/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     17/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     18/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     19/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     20/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     21/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     22/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     23/06/1988           0.00           0.00          empty          0.000          0.000            0.0
     24/06/1988           0.36           0.19          empty          0.000          0.000            0.0
     25/06/1988           0.47           0.26          empty          0.000          0.000            0.0
     26/06/1988           0.58           0.34          empty          0.000          0.000            0.0
     27/06/1988           0.74           0.44          empty          0.000          0.000            0.0
     28/06/1988           0.91           0.56          empty          0.000          0.000            0.0
     29/06/1988           1.10           0.69          empty          0.000          0.000            0.0
     30/06/1988           1.33           0.84          empty          0.000          0.000            0.0
     01/07/1988           1.57           1.00          empty          0.000          0.000            0.0
     02/07/1988           1.78           1.14          empty          0.000          0.000            0.0
     03/07/1988           1.91           1.22          empty          0.000          0.000            0.0
     04/07/1988           2.05           1.32          empty          0.000          0.000            0.0
     05/07/1988           2.24           1.44          empty          0.000          0.000            0.0
     06/07/1988           2.57           1.66          empty          0.000          0.000            0.0
     07/07/1988           2.92           1.90          empty          0.000          0.000            0.0
     08/07/1988           3.34           2.18          empty          0.000          0.000            0.0
     09/07/1988           3.84           2.51          empty          0.000          0.000            0.0
     10/07/1988           4.27           2.80          empty          0.000          0.000            0.0
     11/07/1988           4.57           3.00          empty          0.000          0.000            0.0
     12/07/1988           4.96           3.26          empty          0.000          0.000            0.0
     13/07/1988           5.56           3.66          empty          0.000          0.000            0.0
     14/07/1988           6.28           4.14          empty          0.000          0.000            0.0
     15/07/1988           7.11           4.69          empty          0.000          0.000            0.0
     16/07/1988           7.98           5.29          empty          0.000          0.000            0.0
     17/07/1988           9.01           5.99          empty          0.000          0.000            0.0
     18/07/1988          10.23           6.82          empty          0.000          0.000            0.0
