ApsimVersion = 7.0
apsim_progress_form = Off
           Date           year       oz_yield
             ()         (year)     (bales/ha)
     05/05/1961           1961          1.884
     03/05/1962           1962          3.117
     16/03/1963           1963          0.000
     16/03/1964           1964          0.000
     12/04/1965           1965          1.725
     16/03/1966           1966          0.000
     16/03/1967           1967          0.000
     16/03/1968           1968          0.000
     16/03/1969           1969          0.000
     08/05/1970           1970          3.800
     03/05/1971           1971          2.813
     08/05/1972           1972          2.988
     28/03/1973           1973          1.974
     26/04/1974           1974          3.196
     24/04/1975           1975          2.822
     18/04/1976           1976          2.580
     20/03/1977           1977          1.539
     20/04/1978           1978          3.034
     02/05/1979           1979          2.604
     27/05/1980           1980          2.744
     20/06/1981           1981          2.236
     05/04/1982           1982          1.937
     16/03/1983           1983          0.000
     11/06/1984           1984          2.472
     14/04/1985           1985          3.745
     13/04/1986           1986          2.037
     01/05/1987           1987          3.039
     25/04/1988           1988          3.629
     16/03/1989           1989          0.000
     06/05/1990           1990          2.922
     09/03/1991           1991          0.714
     16/03/1992           1992          0.000
     18/04/1993           1993          1.572
     16/03/1994           1994          0.000
     16/03/1995           1995          0.000
     18/04/1996           1996          4.656
     16/03/1997           1997          0.000
     09/03/1998           1998          0.576
