ApsimVersion = 7.1
Title = Sample Simulation
            day           year     faba_stage       faba_lai   faba_biomass     faba_yield            daa     orob_stage   orob_biomass     population population_dead population_alive    attach_area
          (day)         (year)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha) (parasites/m2)  (parasites/m2)   (parasites/m2)             ()
            130           1988          1.999          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            131           1988          2.000          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            132           1988          2.170          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            133           1988          2.255          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            134           1988          2.341          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            135           1988          2.428          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            136           1988          2.527          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            137           1988          2.619          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            138           1988          2.726          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            139           1988          2.831          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            140           1988          2.913          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            141           1988          2.988          0.000            0.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            142           1988          3.000          0.025           10.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            143           1988          3.061          0.029           12.4            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            144           1988          3.101          0.032           14.9            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            145           1988          3.142          0.037           17.7            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            146           1988          3.173          0.042           21.1            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            147           1988          3.212          0.048           25.2            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            148           1988          3.253          0.055           29.9            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            149           1988          3.288          0.062           34.8            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            150           1988          3.321          0.071           40.7            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            151           1988          3.351          0.082           48.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            152           1988          3.385          0.093           55.4            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            153           1988          3.424          0.102           61.6            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            154           1988          3.464          0.114           69.3            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            155           1988          3.504          0.127           77.7            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            156           1988          3.549          0.133           82.3            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            157           1988          3.598          0.144           89.1            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            158           1988          3.640          0.158           98.7            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            159           1988          3.673          0.180          113.1            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            160           1988          3.702          0.204          129.1            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            161           1988          3.733          0.231          147.4            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            162           1988          3.771          0.262          167.9            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            163           1988          3.802          0.297          191.1            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
            164           1988          3.827          0.329          213.0            0.0              0          0.000            0.0          0.000           0.000            0.000          0.000
