ApsimVersion = 7.10
format = csv
precision = 8
Title = bmw106
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sw_uptake(10),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),()
28/10/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21991800,0.19341500,0.19756700,0.18812300,0.18701800,0.19001000,0.19606100,0.21294500,0.21992400,0.20406700,20.17323900,15.12706500,7.04436000,14.64127900,14.43069500,14.61282700,6.21836700,6.21440100,7.22460400,7.23426200,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
29/10/1985,1,1.99900000,0.00000000,0.02085800,0.00000000,0.02085800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00041700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.17009700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.90080500,1.00000000,1.00000000,0.00000000,0.00000000,0.02904200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23244300,0.21917300,0.19945400,0.18827300,0.18703700,0.19002000,0.19612200,0.21289100,0.21984900,0.20413300,19.15110200,17.34715700,7.47650100,15.20857200,14.81908600,15.13791400,6.75869000,6.74869100,8.02498100,8.04033500,0.00000000,0.00000000,0.00000000,0.35108000,1.00000000,1.00000000
30/10/1985,2,2.00000000,0.00000000,0.02081600,0.00000000,0.02081600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00041600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,56.72894900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.36591700,1.00000000,1.00000000,0.00000000,0.00000000,0.01883100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19994200,0.21562000,0.20071800,0.18843900,0.18705600,0.19003100,0.19618100,0.21283700,0.21977500,0.20419900,20.12173100,17.46947700,7.82542600,15.70921300,15.16914600,15.58739400,7.23023800,7.21317000,8.71891700,8.73815900,0.00000000,0.00000000,0.00000000,0.19482500,1.00000000,1.00000000
31/10/1985,3,2.51657400,0.00000000,0.02077500,0.00000000,0.02077500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00041500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,54.63416700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.89127800,1.00000000,1.00000000,0.00000000,0.00000000,0.05936700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,105.73363400,0.00000000,0.00000000,0.00000000,0.00000000,0.18131200,0.21215100,0.20147100,0.18861600,0.18707600,0.19004100,0.19624000,0.21278300,0.21970100,0.20426400,21.04694900,17.54616500,8.10675800,16.15340000,15.48449400,15.97182000,7.64321200,7.61796800,9.32143500,9.34267200,0.00000000,0.00000000,0.00000000,0.56707600,1.00000000,1.00000000
01/11/1985,4,2.78239500,0.00000000,0.02073300,0.00000000,0.02073300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00041500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,54.35654300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.96193000,1.00000000,1.00000000,0.00000000,0.00000000,0.11227600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,138.73363400,0.00000000,0.00000000,0.00000000,0.00000000,0.18050900,0.20936600,0.20187300,0.18879700,0.18709700,0.19005200,0.19629800,0.21273000,0.21962800,0.20432900,21.86189100,17.62731400,8.33180600,16.54227300,15.76843500,16.30034600,8.00203200,7.96820300,9.84139900,9.86369300,0.00000000,0.00000000,0.00000000,1.09186800,1.00000000,1.00000000
02/11/1985,5,3.00000000,0.41800000,0.06249200,0.04180000,0.02069200,0.02090000,0.02090000,0.00000000,0.00000000,0.00187300,0.00041400,0.00135000,0.00052200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00079400,0.00000000,54.08552000,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,12.37134700,1.00000000,1.00000000,0.00039700,0.00039700,0.18011800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,171.73363400,0.00031300,0.00000000,0.00031300,0.50000000,0.17953300,0.20706600,0.20202800,0.18897800,0.18711800,0.19006300,0.19635500,0.21267700,0.21955500,0.20439400,22.56266200,17.69485700,8.50660200,16.87359800,16.02397500,16.58089600,8.30833100,8.26651200,10.28458900,10.30851400,0.00062700,0.00031300,0.00000000,1.50087400,0.97673400,1.00000000
03/11/1985,6,3.29632800,0.53557600,0.08517400,0.05356000,0.03240800,0.03181200,0.02095300,0.00000000,0.00000000,0.00370900,0.00041300,0.00313900,0.00049200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69032800,0.00256700,0.00006400,53.82065600,1.22293100,1.00000000,0.00000000,12.28290400,0.30577600,0.25000000,12.23729200,1.00000000,1.00000000,0.00128300,0.00131500,0.30352800,0.00084200,0.00044500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00128700,204.73363400,0.00183700,0.00014800,0.00168900,0.52096200,0.17843700,0.20511400,0.20200700,0.18915600,0.18714000,0.19007400,0.19641200,0.21262500,0.21948300,0.20445800,23.15710300,17.73804500,8.63931700,17.15268300,16.25385300,16.82031400,8.56787200,8.51887200,10.66036100,10.68685300,0.00352600,0.00183700,0.01175800,2.77320700,0.89051200,1.00000000
04/11/1985,7,3.54228800,0.91280800,0.16055500,0.09128000,0.07006600,0.06921100,0.02127800,0.00000000,0.00000000,0.00640800,0.00059200,0.00577100,0.00055800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87859400,0.00455300,0.00006400,53.56025100,1.26763300,1.00000000,0.00000000,21.78294600,0.30577600,0.25063700,12.29797900,1.00000000,1.00000000,0.00227400,0.00230600,0.50126000,0.00199900,0.00228000,0.00000100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00428000,227.04294500,0.00287800,0.00046600,0.00241200,0.54406900,0.17725900,0.20340800,0.20185800,0.18932900,0.18716300,0.19008600,0.19646800,0.21257300,0.21941100,0.20452200,23.66095400,17.75617200,8.73658400,17.38479200,16.46055000,17.02450200,8.78593300,8.73068700,10.97704200,11.00727700,0.00529000,0.00287800,0.03772300,4.41763100,0.90497600,1.00000000
05/11/1985,8,3.80284900,1.67167600,0.31218900,0.16717000,0.14581300,0.14404700,0.02232900,0.00000000,0.00000000,0.00994500,0.00114100,0.00921200,0.00065500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06779400,0.00681000,0.00006400,53.30226300,1.35280800,1.00000000,0.00000000,32.58217800,0.30577600,0.25451700,13.02804900,1.00000000,1.00000000,0.00339900,0.00343100,0.59048800,0.00427800,0.00555000,0.00014800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00997600,249.20907200,0.00408800,0.00108100,0.00300700,0.57615600,0.17601200,0.20187200,0.20161500,0.18949700,0.18718700,0.19009800,0.19652300,0.21252100,0.21933900,0.20458500,24.08733700,17.75336600,8.80411100,17.57715400,16.64632200,17.19853600,8.96873200,8.90802700,11.24347300,11.27845400,0.00709500,0.00408800,0.07588700,4.49202000,0.92765300,1.00000000
