ApsimVersion = 7.5
Title = SoilN2 Sample Simulation report
            day           year          no3()          nh4()       biom_n()        fom_n()
          (day)         (year)       (kgN/ha)       (kgN/ha)       (kgN/ha)       (kgN/ha)
              1           1988         83.310          7.349        116.269         19.239
              2           1988         84.935          6.176        116.791         18.426
              3           1988         86.365          5.269        117.310         17.569
              4           1988         87.652          4.629        117.827         16.620
              5           1988         88.819          4.126        118.274         15.737
              6           1988         89.878          3.708        118.635         14.960
              7           1988         90.833          3.352        118.918         14.290
              8           1988         91.707          3.063        119.150         13.686
              9           1988         92.541          2.833        119.348         13.105
             10           1988         93.349          2.676        119.520         12.523
             11           1988         94.136          2.563        119.657         11.963
             12           1988         94.907          2.477        119.759         11.434
             13           1988         95.662          2.401        119.827         10.946
             14           1988         96.397          2.321        119.865         10.505
             15           1988         97.108          2.235        119.878         10.110
             16           1988         97.779          2.149        119.873          9.759
             17           1988         98.448          2.086        119.851          9.413
             18           1988         99.120          2.072        119.808          9.058
             19           1988         99.799          2.074        119.746          8.709
             20           1988        100.133          2.096        119.679          8.419
             21           1988        100.697          2.203        122.000         45.070
             22           1988        101.355          2.271        124.053         42.337
             23           1988        102.088          2.306        125.803         39.937
             24           1988        102.870          2.347        127.382         37.702
             25           1988        103.676          2.380        128.770         35.667
             26           1988        104.476          2.371        129.916         33.919
             27           1988        105.263          2.342        130.886         32.381
             28           1988        106.036          2.306        131.726         30.994
             29           1988        106.783          2.249        132.428         29.784
             30           1988        107.507          2.205        133.051         28.667
